Company;Symbol;Market Cap (B USD)
Adobe;ADOBE;262.4
ADP;;109.8
Airbnb;AIRBNB;82.3
AlphabetA;;1604.8
Alphabet C;;1604.8
Amazon.com;;1561.3
AMD;AMD;185.6
AmericanElectricPower;;44.4
Amgen;AMGEN;145.0
AnalogDevices;ANALOGDEVICES;88.6
ANSYS;;28.0
Apple;APPLE;2751.5
AppliedMaterials;APPLIEDMATERIALS;101.8
Arm;AURINIAPHARMACEUTICALS;54.3
ASMLADR;;335.7
AstraZenecaADR;;207.8
AtlassianCorpPlc;;61.7
Autodesk;AUTODESK;66.7
BakerHughes;;36.1
Biogen;BIOGEN;42.7
Booking;BOOKING;89.6
Broadcom;;268.4
CadenceDesign;CADENCEDESIGNSYSTEMS;47.5
CDWCorp;;45500
CharterCommunications;CHARTERCOMMUNICATIONS;57.6
Cintas;CINTASCORP;45.2
Cisco;CISCO;222.4
Coca;COCACOLA;255.4
CognizantA;;35.3
Comcast;COMCAST;195.5
ConstellationEnergy;;37.4
Copart;;37.5
CoStar;;33.1
Costco;COSTCO;245.6
CrowdStrikeHoldings;;37.0
CSX;CSX;75.1
Datadog;DATADOG;42.2
DexCom;DEXCOM;35.6
Diamondback;DIAMONDBACKENERGY;32.3
DollarTree;DOLLARTREE;35.9
DoorDash;DOORDASH;31.6
ElectronicArts;ELECTRONICARTS;125.4
Exelon;EXELON;50.3
Fastenal;FASTENAL;31.2
Fortinet;FORTINET;136.4
GEHealthCare;;97.7
Gilead;GILEADSCIENCES;27.sty
GlobalFoundries;;27.sie
Grail;;162.3
Honeywell;HONEYWELLINTL;52.1
IDEXXLabs;;25.lut
Illumina;ILLUMINA;152.2
Intuit;INTUIT;112.3
IntuitiveSurgical;INTUITIVESURGICAL;49.7
KeurigDrPepper;KEURIGDRPEPPER;30.maj
KLACorp;KLACORP;58.2
KraftHeinz;KRAFTHEINZ;118.3
LamResearch;LAMRESEARCHCORP;80.2
LindePLC;;55.7
LululemonAthletica;;52.5
MarriottInt;MARRIOTTINTL-CLASSA;53.8
Marvell;MARVELLTECHNOLOGYGROUP;91.1
MercadoLibre;MERCADOLIBRE;38.5
MetaPlatforms;;82.4
Microchip;MICROCHIPTECHNOLOGY;325.8
Micron;MICRONTECHNOLOGY;150.7
Microsoft;MICROSOFT;91.3
Moderna;MODERNA;79.2
Mondelez;MONDELEZINTL;2525.0
MongoDB;;125.6
MonsterBeverage;MONSTERBEVERAGECORP;86.3
Netflix;NETFLIX;69.1
NVIDIA;NVIDIA;58.2
NXP;NXPSEMICONDUCTORSNV;47.5
Oâ€™ReillyAutomotive;;292.1
OldDominionFreightLine;;55.1
ONSemiconductor;;40.7
PACCAR;;26.kwi
PaloAltoNetworks;;65.2
Paychex;;52.1
PayPal;PAYPAL;31.mar
PDDHoldingsDRC;;47.8
PepsiCo;;84.2
Qualcomm;QUALCOMM;250.3
RegeneronPharma;REGENERONPHARMACEUTICALS;94.5
RoperTechnologies;ROPERTECHNOLOGIES;59.8
RossStores;ROSSSTORES;83.2
Starbucks;STARBUCKS;46.4
Synopsys;SYNOPSYS;43.8
Take;TAKEAWAY;35.7
Tesla;TESLA;128.4
TexasInstruments;TEXASINSTRUMENTS;26.sie
TheTradeDesk;THETRADEDESKINC-CLASSA;121.9
T;AACTECHNOLOGIESHLDGINC;40.5
Verisk;;41.4
Vertex;VERTEXPHARMACEUTICALS;
WalgreensBoots;WALGREENSBOOTSALLIANCE;
WarnerBrosDiscovery;;
Workday;WORKDAY-CLASSA;
XcelEnergy;XCELENERGY;
Zscaler;;
